imageid,url,pitch,yaw,roll,manual_pitch,manual_yaw,object_id,object_title,object_classification,object_department,object_division,object_artist,object_century,object_datebegin,object_culture,object_provenance,object_dimensions,object_medium,object_technique,object_accessionyear
440756,"https://ids.lib.harvard.edu/ids/iiif/400096538/702,390,655,873/full/0/native.jpg",-8,3,-2,0,0,285754,Rufus Choate,Photographs,Department of Photographs,European and American Art,Attributed to Josiah Johnson Hawes,19th century,1855,American,NA,image: 52 x 40 cm (20 1/2 x 15 3/4 in.),NA,Albumen silver print,NA
441360,"https://ids.lib.harvard.edu/ids/iiif/400098197/460,314,957,1276/full/0/native.jpg",-10,-17,2,0,0,227805,Portrait of a Woman,Paintings,"Department of Paintings, Sculpture & Decorative Arts",European and American Art,Dirck Dirckszoon van Santvoort,17th century,1640,Dutch,NA,69.2 × 56.2 cm (27 1/4 × 22 1/8 in.)\r\nframe: 125.4 × 109.9 × 11.4 cm (49 3/8 × 43 1/4 × 4 1/2 in.),Oil on panel,NA,1969
441375,"https://ids.lib.harvard.edu/ids/iiif/400098241/383,131,874,1165/full/0/native.jpg",-17,-10,-6,0,-5,230040,Portrait of a Young Woman with Pearl Necklaces,Paintings,"Department of Paintings, Sculpture & Decorative Arts",European and American Art,Théodore Chassériau,19th century,1841,French,"Duc de Trévise, 1931, sold; [his sale, Galerie Charpentier, Paris, May 19, 1938, no. 21]; to Grenville L. Winthrop, bequest; to Fogg Art Museum, 1943. \r\n\r\nLéonce Bénédite gives duc de Trevise as owner in 1931 catalogue.\r\n",79.38 x 65.41 cm (31 1/4 x 25 3/4 in.),Oil on canvas,NA,1943
441689,"https://ids.lib.harvard.edu/ids/iiif/400100262/484,334,605,807/full/0/native.jpg",-6,-20,3,6,-14,230045,"Empress Joséphine (1763-1814), after Chinard",Sculpture,"Department of Paintings, Sculpture & Decorative Arts",European and American Art,Unidentified Artist,19th century,1806,French,"E. F. Bonaventure Inc., New York, NY, sold to Grenville L. Winthrop, 1927.\r\nGrenville Lindall Winthrop, New York, NY, Purchased from E. F. Bonaventure, Inc., 1927, Bequest to the Fogg Art Museum, 1943. Winthrop paid $750\r\n",23.5 x 15.6 x 11 cm (9 1/4 x 6 1/8 x 4 5/16 in.)\r\nwith base: 30.5 x 15.6 x 11 cm (12 x 6 1/8 x 4 5/16 in.),Hard paste porcelain (bisque),NA,1943
441916,"https://ids.lib.harvard.edu/ids/iiif/400108085/1389,0,504,587/full/0/native.jpg",4,-13,14,0,-14,285430,"Cotton Picker: Ten Years, Robbery and Assault",Photographs,Department of Photographs,Modern and Contemporary Art,Danny Lyon,20th century,1967,American,NA,actual: 27.9 x 35.5 cm (11 x 14 in.),NA,Gelatin silver print,1972
442142,"https://ids.lib.harvard.edu/ids/iiif/400110890/369,273,841,1121/full/0/native.jpg",-9,23,4,0,0,297115,Portrait of Frédéric Villot,Drawings,Department of Drawings,European and American Art,Ferdinand-Victor-Eugène Delacroix,19th century,1835,French,"Artist's studio; his posthumous sale, Paris, 17-24 February 1864; A. Robaut; J. F. Gigoux; his sale, Paris, 1882; Théodore Duret; César M. de Hauke, sold; to Meta and Paul J. Sachs, bequest; to Fogg Art Museum, 1949, inv. no. 1949.6",33.3 x 23.7 cm (13 1/8 x 9 5/16 in.),"Dark gray and black chalk with some graphite and very soft charcoal or black crayon accents, scraping and extensive stumping, on cream wove paper; lightly textured",NA,1949
442245,"https://ids.lib.harvard.edu/ids/iiif/400112991/774,717,413,551/full/0/native.jpg",4,-5,-2,0,0,339898,"“Died for Freedom” poster [A flyer announcing a memorial for the three civil rights workers murdered by the Ku Klux Klan and buried in the earth dam of a cattle pond on June 21, 1964. On August 4, the bodies of Schwerner, Goodman, and Chaney were uncovered by the FBI. On the same day, President Johnson began the bombing of North Vietnam]",Photographs,Department of Photographs,Modern and Contemporary Art,Danny Lyon,20th century,1964,American,"Private collection, gift; to the Harvard Art Museums, 2013",26.3 x 17.4 cm (10 3/8 x 6 7/8 in.)\r\nsheet: 35.6 x 27.9 cm (14 x 11 in.),NA,Gelatin silver print,2013
442256,"https://ids.lib.harvard.edu/ids/iiif/400113035/1753,126,469,625/full/0/native.jpg",6,-75,-6,-6,-60,339876,"Zellner, Bernice Reagon, Cordell Reagon, Dottie Miller (Zellner), and Avon Rollins",Photographs,Department of Photographs,Modern and Contemporary Art,Danny Lyon,20th century,1963,American,"Private collection, gift; to the Harvard Art Museums, 2013",22 x 32.5 cm (8 11/16 x 12 13/16 in.)\r\nsheet: 27.9 x 35.6 cm (11 x 14 in.),NA,Gelatin silver print,2013
442306,"https://ids.lib.harvard.edu/ids/iiif/400113265/195,441,454,605/full/0/native.jpg",-6,6,1,0,0,350124,A Course in Miracles,Photographs,Department of Photographs,Modern and Contemporary Art,Audrey Flack,20th century,1978,American,"Sidney and Shirley Singer, gift; to the Harvard Art Museums, 2013.",37.5 x 56.9 cm (14 3/4 x 22 3/8 in.)\r\nmount: 50.8 x 61 cm (20 x 24 in.),NA,Dye transfer print,2013
442306,"https://ids.lib.harvard.edu/ids/iiif/400113265/1277,509,703,937/full/0/native.jpg",-15,6,-9,0,0,350124,A Course in Miracles,Photographs,Department of Photographs,Modern and Contemporary Art,Audrey Flack,20th century,1978,American,"Sidney and Shirley Singer, gift; to the Harvard Art Museums, 2013.",37.5 x 56.9 cm (14 3/4 x 22 3/8 in.)\r\nmount: 50.8 x 61 cm (20 x 24 in.),NA,Dye transfer print,2013
